fatigued_creative_id,nearest_stable_creative_id,feature_space_distance,top_feature_contrasts,observed_time_to_fatigue_days
500001,500977,5.0823550832382365,early_spend_usd: you=8481 vs stable_peer=8971 | early_revenue_usd: you=2.264e+04 vs stable_peer=2.283e+04 | format: you=rewarded_video vs stable_peer=playable | hook_type: you=free rewards vs stable_peer=discover | cta_text: you=Claim reward vs stable_peer=Learn more | subhead: you=No ads in first week vs stable_peer=Free rewards for new players,12.0
500002,500904,4.831930630617748,early_revenue_usd: you=1.881e+04 vs stable_peer=1.448e+04 | early_spend_usd: you=7054 vs stable_peer=7772 | format: you=rewarded_video vs stable_peer=interstitial | theme: you=feature-focus vs stable_peer=competitive | cta_text: you=Claim reward vs stable_peer=Book now | headline: you=Win epic rewards vs stable_peer=Join the arena,11.0
500023,501026,4.315631732283736,early_revenue_usd: you=6.976e+04 vs stable_peer=5.109e+04 | early_spend_usd: you=4934 vs stable_peer=3749 | language: you=pt vs stable_peer=fr | hook_type: you=escape vs stable_peer=challenge | cta_text: you=Install now vs stable_peer=Claim reward | headline: you=Escape this weekend vs stable_peer=Book your next trip,12.0
500030,500610,4.452948926987702,early_revenue_usd: you=2.164e+04 vs stable_peer=1.283e+04 | early_spend_usd: you=4933 vs stable_peer=3843 | language: you=es vs stable_peer=en | theme: you=ugc vs stable_peer=trust | hook_type: you=late-night vs stable_peer=exclusive | cta_text: you=Watch now vs stable_peer=Get offer,14.0
500036,500398,3.903888342190061,early_revenue_usd: you=1.644e+04 vs stable_peer=8402 | early_spend_usd: you=5334 vs stable_peer=3072 | format: you=rewarded_video vs stable_peer=playable | language: you=it vs stable_peer=en | theme: you=competitive vs stable_peer=fantasy | cta_text: you=Claim reward vs stable_peer=Install now,11.0
500037,500257,5.6713890679041965,early_revenue_usd: you=3.548e+04 vs stable_peer=3.435e+04 | early_spend_usd: you=1.065e+04 vs stable_peer=9858 | theme: you=gameplay vs stable_peer=competitive | hook_type: you=security vs stable_peer=free shipping | cta_text: you=Watch now vs stable_peer=Install now | headline: you=Beat your rivals vs stable_peer=Unlock rare gear,10.0
500039,500904,4.583976382927557,early_spend_usd: you=4037 vs stable_peer=7772 | early_revenue_usd: you=1.352e+04 vs stable_peer=1.448e+04 | language: you=fr vs stable_peer=ja | theme: you=ugc vs stable_peer=competitive | hook_type: you=fast vs stable_peer=competition | cta_text: you=Get offer vs stable_peer=Book now,11.0
500040,500005,4.573677660825426,early_spend_usd: you=4572 vs stable_peer=8339 | early_revenue_usd: you=1.529e+04 vs stable_peer=1.868e+04 | language: you=pt vs stable_peer=ja | theme: you=reward vs stable_peer=ugc | hook_type: you=power-up vs stable_peer=competition | cta_text: you=Book now vs stable_peer=Shop now,11.0
500054,501031,3.8681480727637996,early_revenue_usd: you=6.478e+04 vs stable_peer=6.245e+04 | early_spend_usd: you=4747 vs stable_peer=4653 | language: you=en vs stable_peer=es | theme: you=feature-focus vs stable_peer=discount | cta_text: you=Learn more vs stable_peer=Watch now | headline: you=Last-minute savings vs stable_peer=Dream destinations await,14.0
500056,500344,5.0261974094088595,early_revenue_usd: you=1.09e+05 vs stable_peer=8.946e+04 | early_spend_usd: you=7598 vs stable_peer=5875 | language: you=en vs stable_peer=es | theme: you=food-closeup vs stable_peer=destination | hook_type: you=book now vs stable_peer=escape | headline: you=Escape this weekend vs stable_peer=Fly smarter,13.0
500059,500851,5.244887772707705,early_revenue_usd: you=1.47e+05 vs stable_peer=1.227e+05 | early_spend_usd: you=1.429e+04 vs stable_peer=1.357e+04 | format: you=rewarded_video vs stable_peer=interstitial | theme: you=food-closeup vs stable_peer=wanderlust | hook_type: you=escape vs stable_peer=last-minute deal | cta_text: you=Try for free vs stable_peer=Order now,13.0
500070,500934,4.0199147444772985,early_revenue_usd: you=1.748e+04 vs stable_peer=2.723e+04 | early_spend_usd: you=4161 vs stable_peer=8402 | language: you=fr vs stable_peer=de | theme: you=product-focus vs stable_peer=discount | hook_type: you=security vs stable_peer=exclusive | cta_text: you=Install now vs stable_peer=Get offer,16.0
500074,500149,3.9268974199598152,early_revenue_usd: you=1.694e+04 vs stable_peer=1.211e+04 | early_spend_usd: you=5898 vs stable_peer=3521 | language: you=en vs stable_peer=es | theme: you=gameplay vs stable_peer=fantasy | hook_type: you=free rewards vs stable_peer=fast | headline: you=Join the arena vs stable_peer=Level up today,12.0
500087,500481,3.627429844798272,early_revenue_usd: you=7.944e+04 vs stable_peer=7.306e+04 | early_spend_usd: you=5828 vs stable_peer=6626 | theme: you=feature-focus vs stable_peer=minimalist | cta_text: you=Install now vs stable_peer=Watch now | headline: you=Save with confidence vs stable_peer=Track every euro | dominant_color: you=green vs stable_peer=orange,13.0
500112,500288,3.779467521847779,early_revenue_usd: you=1.452e+04 vs stable_peer=1.248e+04 | early_spend_usd: you=4224 vs stable_peer=4047 | format: you=playable vs stable_peer=rewarded_video | language: you=de vs stable_peer=fr | theme: you=fantasy vs stable_peer=product-focus | hook_type: you=power-up vs stable_peer=limited offer,13.0
500113,500505,3.6578880789940236,early_revenue_usd: you=1.773e+04 vs stable_peer=1.23e+04 | early_spend_usd: you=6004 vs stable_peer=4775 | language: you=it vs stable_peer=en | hook_type: you=competition vs stable_peer=free shipping | cta_text: you=Book now vs stable_peer=Claim reward | headline: you=Join the arena vs stable_peer=Level up today,12.0
500114,500043,4.2504068985104695,early_revenue_usd: you=7996 vs stable_peer=1.584e+04 | early_spend_usd: you=1974 vs stable_peer=3534 | format: you=rewarded_video vs stable_peer=interstitial | theme: you=ugc vs stable_peer=product-focus | cta_text: you=Shop now vs stable_peer=Order now | headline: you=New collection drop vs stable_peer=Your next favorite pick,13.0
500118,500512,3.7279311899225123,early_spend_usd: you=6131 vs stable_peer=3236 | early_revenue_usd: you=2.947e+04 vs stable_peer=3.14e+04 | language: you=en vs stable_peer=es | theme: you=discount vs stable_peer=ugc | hook_type: you=new collection vs stable_peer=free rewards | headline: you=Limited stock vs stable_peer=Flash sale live,15.0
500127,500347,3.9042843900406834,early_revenue_usd: you=6.924e+04 vs stable_peer=9.25e+04 | early_spend_usd: you=5611 vs stable_peer=6181 | theme: you=destination vs stable_peer=discount | cta_text: you=Shop now vs stable_peer=Get offer | subhead: you=Hotels + flights in one tap vs stable_peer=Flexible booking options | dominant_color: you=teal vs stable_peer=white,13.0
500128,500484,6.585304493252364,early_spend_usd: you=1.819e+04 vs stable_peer=2.684e+04 | early_revenue_usd: you=1.933e+05 vs stable_peer=1.888e+05 | vertical: you=travel vs stable_peer=fintech | format: you=rewarded_video vs stable_peer=interstitial | theme: you=destination vs stable_peer=family | hook_type: you=book now vs stable_peer=security,10.0
500135,500202,4.282911923886109,early_revenue_usd: you=1.604e+04 vs stable_peer=5.504e+04 | early_spend_usd: you=4757 vs stable_peer=4053 | vertical: you=food_delivery vs stable_peer=travel | language: you=en vs stable_peer=fr | theme: you=urgency vs stable_peer=wanderlust | hook_type: you=fast vs stable_peer=discover,13.0
500145,500257,5.338830364292238,early_revenue_usd: you=2.342e+04 vs stable_peer=3.435e+04 | early_spend_usd: you=7264 vs stable_peer=9858 | language: you=ja vs stable_peer=pt | theme: you=family vs stable_peer=competitive | hook_type: you=competition vs stable_peer=free shipping | cta_text: you=Book now vs stable_peer=Install now,10.0
500148,500757,4.064516132175435,early_revenue_usd: you=2.907e+04 vs stable_peer=2.307e+04 | early_spend_usd: you=8837 vs stable_peer=7448 | language: you=es vs stable_peer=fr | theme: you=food-closeup vs stable_peer=minimalist | hook_type: you=challenge vs stable_peer=free rewards | cta_text: you=Start now vs stable_peer=Learn more,11.0
500157,501061,3.768349760170784,"early_revenue_usd: you=8.41e+04 vs stable_peer=6.824e+04 | early_spend_usd: you=4441 vs stable_peer=5635 | language: you=it vs stable_peer=es | theme: you=reward vs stable_peer=testimonial | cta_text: you=Book now vs stable_peer=Claim reward | subhead: you=Fast signup, instant card vs stable_peer=Built for peace of mind",13.0
500164,500419,4.659439577431692,early_revenue_usd: you=3.003e+04 vs stable_peer=8.987e+04 | early_spend_usd: you=1619 vs stable_peer=4752 | language: you=en vs stable_peer=es | theme: you=urgency vs stable_peer=trust | hook_type: you=book now vs stable_peer=escape | cta_text: you=Start now vs stable_peer=Install now,12.0
500166,500380,5.178264811516122,early_revenue_usd: you=5.214e+04 vs stable_peer=8.002e+04 | early_spend_usd: you=3852 vs stable_peer=6367 | hook_type: you=book now vs stable_peer=escape | cta_text: you=Install now vs stable_peer=Order now | headline: you=Fly smarter vs stable_peer=Escape this weekend | subhead: you=Hotels + flights in one tap vs stable_peer=Flexible booking options,15.0
500180,500076,6.6293222807065915,early_spend_usd: you=1.851e+04 vs stable_peer=2.957e+04 | early_revenue_usd: you=4.923e+04 vs stable_peer=4.217e+04 | language: you=pt vs stable_peer=ja | theme: you=competitive vs stable_peer=celebrity | hook_type: you=free rewards vs stable_peer=challenge | cta_text: you=Claim reward vs stable_peer=Get offer,10.0
500181,500757,4.89706632281119,early_spend_usd: you=4632 vs stable_peer=7448 | early_revenue_usd: you=2.438e+04 vs stable_peer=2.307e+04 | language: you=pt vs stable_peer=fr | theme: you=testimonial vs stable_peer=minimalist | hook_type: you=competition vs stable_peer=free rewards | cta_text: you=Book now vs stable_peer=Learn more,14.0
500182,500216,3.6047794128577895,early_revenue_usd: you=1.43e+04 vs stable_peer=1.076e+04 | early_spend_usd: you=3214 vs stable_peer=4639 | format: you=rewarded_video vs stable_peer=playable | theme: you=competitive vs stable_peer=fantasy | hook_type: you=free rewards vs stable_peer=free shipping | cta_text: you=Shop now vs stable_peer=Watch now,15.0
500183,500218,3.866165526810317,early_revenue_usd: you=1.45e+04 vs stable_peer=1.127e+04 | early_spend_usd: you=3071 vs stable_peer=5191 | language: you=es vs stable_peer=en | theme: you=gameplay vs stable_peer=competitive | headline: you=Join the arena vs stable_peer=Unlock rare gear | duration_sec: you=0 vs stable_peer=8,11.0
500184,500541,3.670014270499165,early_revenue_usd: you=1.153e+04 vs stable_peer=1.55e+04 | early_spend_usd: you=2651 vs stable_peer=4647 | language: you=es vs stable_peer=de | theme: you=trust vs stable_peer=reward | cta_text: you=Get offer vs stable_peer=Install now | headline: you=Win epic rewards vs stable_peer=Level up today,12.0
500185,500507,3.9333567375809295,early_revenue_usd: you=2.059e+04 vs stable_peer=1.48e+04 | early_spend_usd: you=4186 vs stable_peer=4020 | language: you=ja vs stable_peer=fr | theme: you=fantasy vs stable_peer=gameplay | hook_type: you=free rewards vs stable_peer=new collection | subhead: you=Play with friends tonight vs stable_peer=No ads in first week,13.0
500198,500599,5.1889044395801545,early_revenue_usd: you=1.179e+05 vs stable_peer=7.671e+04 | early_spend_usd: you=1.024e+04 vs stable_peer=5651 | language: you=fr vs stable_peer=ja | hook_type: you=last-minute deal vs stable_peer=discover | cta_text: you=Learn more vs stable_peer=Shop now | headline: you=Escape this weekend vs stable_peer=Last-minute savings,12.0
500207,500130,4.23898613047127,early_revenue_usd: you=9384 vs stable_peer=8.264e+04 | early_spend_usd: you=2283 vs stable_peer=6914 | vertical: you=food_delivery vs stable_peer=travel | language: you=en vs stable_peer=es | hook_type: you=late-night vs stable_peer=last-minute deal | cta_text: you=Get offer vs stable_peer=Learn more,14.0
500215,500934,3.5810735279574373,early_revenue_usd: you=2.163e+04 vs stable_peer=2.723e+04 | early_spend_usd: you=6771 vs stable_peer=8402 | language: you=en vs stable_peer=de | theme: you=drama vs stable_peer=discount | cta_text: you=Learn more vs stable_peer=Get offer | dominant_color: you=purple vs stable_peer=red,15.0
500220,501011,3.9207840923995136,early_spend_usd: you=3677 vs stable_peer=2496 | early_revenue_usd: you=9298 vs stable_peer=1.03e+04 | format: you=banner vs stable_peer=native | height: you=480 vs stable_peer=320 | language: you=fr vs stable_peer=es | theme: you=food-closeup vs stable_peer=reward,12.0
500235,500525,5.346640575253197,early_revenue_usd: you=1.391e+05 vs stable_peer=7.711e+04 | early_spend_usd: you=1.023e+04 vs stable_peer=6004 | language: you=it vs stable_peer=ja | theme: you=wanderlust vs stable_peer=discount | hook_type: you=last-minute deal vs stable_peer=escape | headline: you=Dream destinations await vs stable_peer=Escape this weekend,15.0
500242,500658,4.776357560866573,early_revenue_usd: you=3.538e+04 vs stable_peer=4.862e+04 | early_spend_usd: you=8305 vs stable_peer=1.156e+04 | vertical: you=food_delivery vs stable_peer=ecommerce | language: you=ja vs stable_peer=en | theme: you=reward vs stable_peer=discount | hook_type: you=late-night vs stable_peer=security,11.0
500247,500357,3.7470532072228546,early_revenue_usd: you=2.444e+04 vs stable_peer=4.055e+04 | early_spend_usd: you=5897 vs stable_peer=1.109e+04 | language: you=en vs stable_peer=es | theme: you=competitive vs stable_peer=celebrity | hook_type: you=watch now vs stable_peer=trending | cta_text: you=Start now vs stable_peer=Learn more,14.0
500252,500147,5.17551021018234,early_revenue_usd: you=2.128e+04 vs stable_peer=1.746e+04 | early_spend_usd: you=4930 vs stable_peer=4064 | format: you=playable vs stable_peer=rewarded_video | language: you=pt vs stable_peer=ja | theme: you=competitive vs stable_peer=gameplay | hook_type: you=challenge vs stable_peer=competition,10.0
500254,500147,4.48322460739961,early_revenue_usd: you=2.436e+04 vs stable_peer=1.746e+04 | early_spend_usd: you=4817 vs stable_peer=4064 | language: you=es vs stable_peer=ja | theme: you=fantasy vs stable_peer=gameplay | hook_type: you=power-up vs stable_peer=competition | cta_text: you=Start now vs stable_peer=Shop now,10.0
500255,500003,4.645756911159186,early_spend_usd: you=5597 vs stable_peer=1.34e+04 | early_revenue_usd: you=2.429e+04 vs stable_peer=2.949e+04 | language: you=es vs stable_peer=en | theme: you=fantasy vs stable_peer=testimonial | hook_type: you=power-up vs stable_peer=free shipping | cta_text: you=Get offer vs stable_peer=Order now,10.0
500270,500666,4.44126366244293,early_revenue_usd: you=1.478e+05 vs stable_peer=1.788e+05 | early_spend_usd: you=9035 vs stable_peer=1.305e+04 | language: you=es vs stable_peer=en | theme: you=feature-focus vs stable_peer=family | cta_text: you=Get offer vs stable_peer=Watch now | headline: you=Last-minute savings vs stable_peer=Book your next trip,10.0
500272,500850,4.367308677424406,early_revenue_usd: you=5.253e+04 vs stable_peer=6.4e+04 | early_spend_usd: you=2241 vs stable_peer=5404 | language: you=es vs stable_peer=en | hook_type: you=escape vs stable_peer=trending | cta_text: you=Start now vs stable_peer=Install now | headline: you=Book your next trip vs stable_peer=Dream destinations await,13.0
500274,500635,3.735437013428436,early_revenue_usd: you=8.27e+04 vs stable_peer=7.79e+04 | early_spend_usd: you=3958 vs stable_peer=4391 | language: you=es vs stable_peer=en | theme: you=family vs stable_peer=destination | hook_type: you=escape vs stable_peer=discover | cta_text: you=Order now vs stable_peer=Shop now,12.0
500281,500062,4.7049252285045435,"early_revenue_usd: you=4.113e+04 vs stable_peer=3.524e+04 | early_spend_usd: you=1.104e+04 vs stable_peer=5522 | language: you=ja vs stable_peer=en | hook_type: you=free delivery vs stable_peer=late-night | cta_text: you=Watch now vs stable_peer=Install now | headline: you=Your cravings, delivered vs stable_peer=Fast food, fast",10.0
500290,500543,4.297807331135163,early_revenue_usd: you=1.413e+04 vs stable_peer=1.949e+04 | early_spend_usd: you=4419 vs stable_peer=5880 | language: you=fr vs stable_peer=en | theme: you=fantasy vs stable_peer=competitive | hook_type: you=free rewards vs stable_peer=security | subhead: you=Free rewards for new players vs stable_peer=Play with friends tonight,13.0
500292,500580,5.001663730213557,early_revenue_usd: you=2.353e+04 vs stable_peer=2.001e+04 | early_spend_usd: you=9162 vs stable_peer=8097 | language: you=es vs stable_peer=en | theme: you=feature-focus vs stable_peer=reward | hook_type: you=fast vs stable_peer=book now | cta_text: you=Learn more vs stable_peer=Start now,10.0
500293,500288,4.13281381021774,early_revenue_usd: you=2.144e+04 vs stable_peer=1.248e+04 | early_spend_usd: you=7075 vs stable_peer=4047 | language: you=es vs stable_peer=fr | theme: you=feature-focus vs stable_peer=product-focus | hook_type: you=power-up vs stable_peer=limited offer | subhead: you=Free rewards for new players vs stable_peer=No ads in first week,11.0
500312,500062,4.122228844664504,early_revenue_usd: you=1.708e+04 vs stable_peer=3.524e+04 | early_spend_usd: you=3650 vs stable_peer=5522 | language: you=fr vs stable_peer=en | theme: you=discount vs stable_peer=combo | hook_type: you=watch now vs stable_peer=late-night | cta_text: you=Book now vs stable_peer=Install now,12.0
500314,500817,4.884740671946122,early_revenue_usd: you=1.693e+04 vs stable_peer=1.567e+04 | early_spend_usd: you=3872 vs stable_peer=3950 | format: you=rewarded_video vs stable_peer=interstitial | language: you=fr vs stable_peer=en | theme: you=discount vs stable_peer=reward | hook_type: you=late-night vs stable_peer=security,11.0
500320,500066,3.9098980789974163,early_revenue_usd: you=2.835e+04 vs stable_peer=2.636e+04 | early_spend_usd: you=8173 vs stable_peer=6610 | language: you=en vs stable_peer=de | theme: you=ugc vs stable_peer=trailer | cta_text: you=Shop now vs stable_peer=Start now | subhead: you=New hits every week vs stable_peer=Cancel anytime,14.0
500323,500210,4.093757608215562,early_revenue_usd: you=1.837e+04 vs stable_peer=1.171e+04 | early_spend_usd: you=4404 vs stable_peer=3235 | format: you=native vs stable_peer=banner | height: you=320 vs stable_peer=480 | language: you=en vs stable_peer=fr | hook_type: you=watch now vs stable_peer=new season,13.0
500326,500977,3.926552490561184,early_revenue_usd: you=2.074e+04 vs stable_peer=2.283e+04 | early_spend_usd: you=7397 vs stable_peer=8971 | format: you=rewarded_video vs stable_peer=playable | theme: you=competitive vs stable_peer=gameplay | hook_type: you=free rewards vs stable_peer=discover | cta_text: you=Shop now vs stable_peer=Learn more,15.0
500348,501000,4.240914303562824,early_revenue_usd: you=1.784e+04 vs stable_peer=1.098e+04 | early_spend_usd: you=3935 vs stable_peer=2822 | language: you=fr vs stable_peer=en | theme: you=urgency vs stable_peer=food-closeup | hook_type: you=late-night vs stable_peer=free delivery | cta_text: you=Install now vs stable_peer=Shop now,12.0
500361,500168,5.538168069893165,early_revenue_usd: you=1.189e+04 vs stable_peer=1.754e+04 | early_spend_usd: you=4152 vs stable_peer=5745 | vertical: you=gaming vs stable_peer=food_delivery | language: you=pt vs stable_peer=ja | theme: you=competitive vs stable_peer=combo | hook_type: you=power-up vs stable_peer=trending,13.0
500363,500325,4.209725492593598,early_revenue_usd: you=1.109e+04 vs stable_peer=1.031e+04 | early_spend_usd: you=3881 vs stable_peer=4320 | language: you=ja vs stable_peer=en | theme: you=discount vs stable_peer=competitive | subhead: you=No ads in first week vs stable_peer=Play with friends tonight | emotional_tone: you=adventurous vs stable_peer=playful,12.0
500365,500434,4.9271732363607175,early_revenue_usd: you=1.196e+04 vs stable_peer=1.465e+04 | early_spend_usd: you=4390 vs stable_peer=5139 | theme: you=competitive vs stable_peer=fantasy | hook_type: you=last-minute deal vs stable_peer=free rewards | cta_text: you=Try for free vs stable_peer=Claim reward | headline: you=Win epic rewards vs stable_peer=Beat your rivals,13.0
500383,500129,5.17348031847046,early_revenue_usd: you=1.209e+05 vs stable_peer=5.813e+04 | early_spend_usd: you=7167 vs stable_peer=3992 | theme: you=family vs stable_peer=product-focus | hook_type: you=escape vs stable_peer=discover | cta_text: you=Get offer vs stable_peer=Order now | headline: you=Book your next trip vs stable_peer=Fly smarter,14.0
500385,500817,4.976727866933675,early_revenue_usd: you=2.231e+04 vs stable_peer=1.567e+04 | early_spend_usd: you=6183 vs stable_peer=3950 | theme: you=testimonial vs stable_peer=reward | hook_type: you=fast vs stable_peer=security | cta_text: you=Book now vs stable_peer=Shop now | dominant_color: you=orange vs stable_peer=blue,11.0
500390,500609,3.993404085837244,early_revenue_usd: you=1.641e+04 vs stable_peer=2.292e+04 | early_spend_usd: you=2815 vs stable_peer=7074 | language: you=es vs stable_peer=en | theme: you=destination vs stable_peer=celebrity | hook_type: you=last-minute deal vs stable_peer=exclusive | headline: you=Stream the hype vs stable_peer=Watch what’s trending,13.0
500391,500430,4.007258329040839,early_revenue_usd: you=2.667e+04 vs stable_peer=2.285e+04 | early_spend_usd: you=3788 vs stable_peer=4079 | format: you=rewarded_video vs stable_peer=interstitial | language: you=en vs stable_peer=fr | hook_type: you=new season vs stable_peer=save smarter | cta_text: you=Get offer vs stable_peer=Claim reward,14.0
500392,500714,3.762348127511787,early_revenue_usd: you=3.044e+04 vs stable_peer=3.587e+04 | early_spend_usd: you=4948 vs stable_peer=7032 | language: you=es vs stable_peer=ja | theme: you=urgency vs stable_peer=trailer | cta_text: you=Shop now vs stable_peer=Try for free | headline: you=A new season drops vs stable_peer=Exclusive tonight,12.0
500396,500109,3.7777504099776347,early_revenue_usd: you=1.217e+04 vs stable_peer=1.45e+04 | early_spend_usd: you=5120 vs stable_peer=4954 | language: you=es vs stable_peer=de | theme: you=food-closeup vs stable_peer=combo | hook_type: you=power-up vs stable_peer=free rewards | cta_text: you=Shop now vs stable_peer=Order now,13.0
500399,500902,3.734797171660011,early_spend_usd: you=3109 vs stable_peer=5691 | early_revenue_usd: you=8823 vs stable_peer=1.061e+04 | format: you=playable vs stable_peer=rewarded_video | theme: you=gameplay vs stable_peer=competitive | hook_type: you=last-minute deal vs stable_peer=fast | cta_text: you=Book now vs stable_peer=Get offer,15.0
500400,500792,4.191080549588065,early_revenue_usd: you=1.001e+04 vs stable_peer=8078 | early_spend_usd: you=3535 vs stable_peer=2999 | language: you=en vs stable_peer=de | hook_type: you=free rewards vs stable_peer=new collection | cta_text: you=Order now vs stable_peer=Get offer | headline: you=Join the arena vs stable_peer=Level up today,15.0
